date,step_count,active_time,distance,calorie
2020-09-25,14392,7782950,11033.9795,493.38983
2020-09-26,13245,7529735,10020.99,480.0699
2020-09-27,4105,2269046,3131.42,142.96999
2020-10-03,26,15039,19.41,0.94
2020-10-04,50,28982,37.76,1.74
2020-10-05,147,91730,108.86,5.32
2020-10-06,29,17043,22.119999,1.01
2020-10-07,16,9161,12.39,0.56
2020-10-10,49,29531,36.5,1.9400002
2020-10-11,17,13045,12.389999,0.73
2020-10-12,26,14016,20.64,0.97
2020-10-15,42,24596,31.039999,1.52
2020-10-16,14,9066,10.16,0.51
2020-10-19,4457,2476513,3394.6199,158.90991
2020-10-20,13,7302,10.25,0.48
2020-10-21,8,5285,5.89,0.29
2020-10-26,21,11923,15.629999,0.73
2020-11-01,8510,4529805,5808.809,251.01985
2020-11-05,48,26113,32.27,1.27
2020-11-06,74,43429,48.93,2.06
2020-11-11,1067,557640,729.58997,31.129993
2020-11-15,40,26620,26.059998,1.0999999
2020-11-16,9,5888,5.8599997,0.26
2020-11-18,38,20604,25.98,1.04
2020-11-21,6550,3153227,5194.6997,239.77997
2020-11-22,8650,4168371,6949.77,321.00998
2020-11-25,1858,1031650,1255.4299,53.979996
2020-11-26,8831,4262123,6873.19,318.36
2020-11-27,7053,3524468,4890.76,211.27
2020-11-30,3203,1582187,2227.5898,95.85
2020-12-01,3574,2009762,2404.2,106.77
2020-12-08,19,10301,12.620001,0.5
2020-12-11,13,8117,8.809999,0.33
2020-12-12,61,35371,39.85,1.59
2020-12-13,9890,4559079,7788.7896,375.46997
2020-12-14,31,18902,20.48,0.84000003
2020-12-15,132,78638,87.34,3.63
2020-12-16,171,100230,113.72,4.7899995
2020-12-17,6953,3861693,4741.9897,208.3
2020-12-18,3133,1800629,2101.74,90.03999
2020-12-19,8716,5205397,5793.31,258.22998
2020-12-20,13,8360,8.49,0.36
2020-12-22,7,3306,4.96,0.18
2020-12-26,13099,6349919,9157.29,389.46
2020-12-27,10136,4979270,7062.95,303.79
2020-12-28,8108,3526876,7247.63,367.5
2020-12-29,5909,3016294,4072.27,176.93
2020-12-31,13,6817,8.87,0.33
2021-01-04,15,7480,10.39,0.4
2021-01-05,61,35552,40.260002,1.7199997
2021-01-06,22,13344,14.789999,0.59000003
2021-01-07,51,30983,33.75,1.4300001
2021-01-08,6,4841,3.9,0.17
2021-01-09,7805,3939494,5415.38,233.7
2021-01-10,6917,3359558,4835.98,207.43
2021-01-11,12,7671,7.87,0.32999998
2021-01-12,192,111627,129.43,5.5599995
2021-01-13,10274,5041010,7157.86,307.75
2021-01-14,8202,4088073,5698.9,246.4
2021-01-15,46,27062,30.77,1.31
2021-01-19,8534,4173113,5988.53,259.4
2021-01-20,17,11102,10.900001,0.44000003
2021-01-21,57,33542,37.66,1.5500001
